"ID";"Screen name";"Type";"Name";"Count"
"76928779";"from_emerald_city";"page";"Фотохроники Изумрудного города";"Я собираю истории о людях и существах с изнанки города… сочиняю сказки и делаю их чуточку материальней, обращая в набор цветных пикселей на экране.<br><br>Я закидываю на плечи рюкзак, завязываю шнурки на любимых ботинках и беру с собой фотоаппарат. Меня ждут выложенные брусчаткой улицы старых городов, неизведанные страны и осколки иных реальностей. Я нажимаю на кнопку спуска затвора и навсегда сохраняю их в своей памяти и в памяти мира.";"1"
"115962656";"larp.swamp";"page";"Вести с болот";"Пишем для ролевиков о том, что им интересно, и для всех остальных о том, что интересно в ролевиках.";"2"
"27023260";"el_vienta";"page";"ElVienta [Татьяна Румянцева]";"Лесное колдовство. Августовский ветер.Романтический сатанизм<br><br>Я хочу снимать что-то настолько прекрасное, чтобы захватывало дыхание, но что это такое должно быть, я не знаю.<br><br>Москва и МО, мшистая Ленобласть";"1"
"73292486";"eng_books_for_kids";"page";"Английские книги для детей";"Детские книги на английском языке<br><br>В группе собраны детские книги на английском. Надеемся, они Вам также пригодятся! <br>Дети с легкостью усваивают языки. В процессе чтения сказки ребенок быстро запоминает слова и сопоставляет со смысловым переводом. Часто повторяемые слова с привязкой к сюжету активнее запоминаются и остаются в памяти надолго.<br>Желаем удачи в изучении английского языка! <br><br>Спасибо Вам за лайки :)<br><br>КАТАЛОГ ВСЕХ КНИГ: http://vk.com/album-73292486_215095342";"1"
"35776247";"public.phpalexandrabp";"page";"ALEXANDRA BELOVA-POLYAK фотограф в Лондоне";"Портретная фотография<br><br>Для практики я мысленно все фотографирую.<br>В данный момент живу в Лондоне, Великобритания.<br>В Воронеже бываю пару месяцев в году.<br><br>Все права защищены, использование фотографий возможно только с согласия автора.<br><br>По всем вопросам, касающихся сотрудничества и съёмок, просьба писать на alexbelova881@gmail.com";"1"
"72772451";"kirillrichter";"page";"Kirill Richter";"Моя музыка – саундтрек к жизни, моменты, которые так или иначе случались со мной. <br>Истории, которые я рассказываю, каким-то образом находят отклик и в других жизнях. <br>Именно тогда рождается чувство, будто мы все говорим на одном языке.";"1"
"86487667";"white_drozd";"page";"White Drozd Photography";"";"2"
"61117388";"somebodyart";"page";"SOMEBODYART";"Привет. Меня зовут Чугунова Мария. Я профессиональный художник, графический дизайнер. Последние пять лет я занимаюсь искусством росписи по телу. В этой группе представлены мои работы в этом направлении.<br><br>Я неоднократный призер Фестиваля Красоты ”Невские берега” 2012-2013 в категории bodypainting (мастера); чемпион фестиваля Any-V 2011 в номинации Боди-Арт<br><br>Я использую профессиональные материалы для боди-арта. Краски фирм Diamond FX, Eulenspiegel, mehron, kryolan <br><br>Рисую на заказ. Участвую в проектах любой сложности. Организую мастер-классы по боди-арту. По договоренности могу провести индивидуальное занятие. А так же изготавливаю бутафорию на заказ.<br> <br>#бодиарт #фейсарт #бодипеинтинг #грим #аквагрим #аэрография #bodyart #bodypainting #faceart";"2"
"109149413";"vil_painter";"page";"Вилка и карандаши";"Рисунки и картинки. <br><br>""Когда дело касалось Башни, судьба становилась милосердной &lt;...&gt; как колеса приближающегося поезда, она следовала курсу логичному и сокрушающе жестокому, курсу против которого могли выстоять только сталь и нежность"" С. Кинг<br><br>Меня зовут Вил. Я рисую. <br><br>Я сдалась и завела себе паблик со своими картинками. Сил уже нет давать ссылки на картинки со всех углов интернета. Пусть все актуальное будет в одном месте, мне это будет удобно. Старое публиковать не планирую или, по крайней мере, не в ближайшее время.<br>Пожалуйста оставляйте комментарии, помните художники питаются фидбэком. <br>На заказ - тоже умею. От 1000 р";"2"
"114426022";"locus_solus";"page";"Locus Solus. Кладовая тишины";"Наш Остров открыт всем волшебникам!<br>У нас есть старинные книги и новые книги. По всем стенам. Их можно листать, читать, щупать, забирать домой и покупать, если понравились. <br>А еще к нам можно приходить -- с друзьями или в одиночестве, на наши мероприятия или организовывая свои движи. Или просто забираться на подиум с ногами, брать горячий чай и читать, согревая молчанием тех, кто рядом. Берегите себя этой зимой. Приходите в теплые места.<br><br>АДРЕС: Москва, ул. Малая Юшуньская, д. 1  к2 (во дворе гостиницы Берлин).<br><br>ЧАСЫ РАБОТЫ: с 12:00 до 22:00 без выходных<br><br>Как до нас добраться - смотреть здесь: <br>http://vk.com/topic-114426022_33896617<br><br>Ближайшие мероприятия:<br><br>8 февраля, среда.<br>19.00. Контактная импровизация! Вход: 300р.<br><br>9 февраля, четверг.<br>19.00. [зеленый зал] Вечер настольных восточных игр! Маджонг, сянцы, ханафуду! Вход: за покупку книжки.<br><br>19.00. [Синий зал] Музыкальный проект Mama Nature. Вход: 200р.<br><br>10 февраля, пятница.<br>19.00. Мастер-класс по горячей эмали!<br>Вход: 350р.<br><br>11 февраля, суббота.<br>19.00. Мастер-класс с обложкой для любимой книги.  Вход: 350р.<br><br>12 февраля, воскресенье.<br>14.00. Лекция про кельтских богов. Вход: 500р.<br><br>13 февраля, понедельник.<br>19.00. Мастер-класс по созданию браслетов! <br><br>14 февраля, вторник. <br>19.00. Киновечер путешествий. Фильм ""Пляж"". Вход: за покупку книжки.<br><br>15 февраля, среда.<br>19.00. Рассказ-встреча про путь Святого Иакова (El Camino). Вход: за покупку книжки.";"1"
"109407511";"joinrpg";"page";"joinrpg.ru";"Перезапуск базы заявок Allrpg.Info — просто, удобно, универсально. <br>От создателей Kogda-Igra.ru<br><br>Техническая поддержка — через сообщения сообщества и support@joinrpg.ru";"1"
"121767782";"deus2017";"page";"Deus ex Machina";"Сайт игры: deus.rpg.ru<br><br>2 - 6 августа 2017 года под Москвой.<br>Ориентировочное число участников — 700 игроков.<br>Мы будем рады принять ваши заявки с сентября 2016 года.<br><br>В качестве вдохновения мы используем множество книг, игр и фильмов в жанрах киберпанк и научная фантастика. Для начала рекомендуем вам ознакомиться с книгами «Лавина» Нила Стивенсона, «Нейромант» Уильяма Гибсона и «Ложная слепота» Питера Уоттса, серией компьютерных игр Deus Ex и фильмом Ex Machina.<br>Следите за новостями!";"1"
"122564943";"club122564943";"group";"Кватроченто. Искусство жизни, искусство смерти";"Ролевая игра по мотивам событий итальянского Ренессанса состоится 9-12 июня 2017 года на одной из баз Ленобласти.";"1"
"730884";"blincom";"group";"Блинком";"Блинком — крупнейший в Северо-Западном регионе фестиваль игр живого действия, фэнтези, косплея, и реконструкции с 2000 года ежегодно проходящий в Санкт-Петербурге.<br><br>Блинком XVII пройдёт 10–11 декабря 2016 года в Ленинградском дворце молодежи (ул. Профессора Попова, 47).";"1"
"78728028";"cubecomcon";"group";"Премия ""Золотой куб"" 2017";"В этом году мы намерены решительно переделать принцип голосования и выдвижения на «Золотой куб», чтобы подчеркнуть то интересное, что есть в наших играх.<br><br>Регламент Золотого Куба 2017:<br>https://docs.google.com/document/d/1APod-zecjxBnK1c6HJbps87aSKSQqH_u_95DqgZYHxo/<br><br>Про номинации и критерии:<br>https://docs.google.com/document/d/1icdh81SEkZSc_K4LElPa9WQSTKpbUevD8Wm-H5g07AE/<br><br>Описание механизма расчета победителей:<br>https://docs.google.com/document/d/1E363eu_LoJN4l6Hu4SC3f3Vt-0m_NgNwIWzSnJUKwvI/<br><br>Список академиков:<br>https://docs.google.com/spreadsheets/d/1gB60VOLKgl1FQH8WIw08wlHp8js8bwM7UCw1cuy4aeM/<br><br>«Золотой куб» будет проходить в два этапа: выдвижение и голосование<br><br>Выдвижение (до 18 января):<br><br>Создано сообщество, куда может писать каждый. Чтобы выдвинуть игру на премию, нужно создать пост в сообществе с названием этой игры и ссылками на материалы. В комментариях нужно указывать важные «фишки» игры, которые необходимо подчеркнуть. Только положительные. Если вы хотите добавить фишку, которую не указал автор поста, то можно дописать комментарий. Все остальные комментарии будут стираться.<br>Кроме того, комментарием можно добавить ссылки на отчеты, рецензии и материалы по игре.<br>Описание фишки игры: <br>1. Описание идеи фишки и как сработало. <br>2. Насколько глобально повлияло на игроков и игру. <br>3. Насколько плотно вписывалось в остальную игру. <br>4. В каких номинациях эту фишку необходимо учесть. Здесь обязательно нужно указать минимум одну номинацию, а можно и несколько.<br><br>Если хочется высказать негативную информацию или обсудить — это можно сделать в «Обсуждениях».<br><br>Организационная пауза (до 5 февраля)<br>Организаторы и академики объединяют похожие фишки и корректируют номинации. Академики обсуждают номинации в бейскампе. Академики будут отвечать за определенный набор номинаций. Игра попадает в номинацию, если у нее есть хотя бы одна выдвинутая фишка с указанием данной номинации.<br><br>Голосование (до 5 марта):<br><br>С помощью Google-формы академики голосуют по своим номинациям по следующим правилам:<br>В рамках номинации академик голосует только по тем фишкам, которые указаны для этой номинации.<br>Каждая фишка оценивается от 0 до 100 баллов отдельно по каждой номинации, в которой заявлена фишка.<br>На основе этих оценок ранжируются игры для каждого академика, после чего победитель и топ-3 вычисляются методом Шульце. <br>Иными словами рейтинг фишек важен чтобы отранжировать игры внутри голосования одного академика. А потом когда все академики проголосовали,  как и раньше смотриться у кого какая игра на первом месте.<br>Важное отличие от предыдущего года: нет голосования по критериям номинации  и весов критериев<br><br>Выдвижение академиков:<br><br>В этом году мы решили что оргкомитет будет лично приглашать академиков.  Мы очень хотим, чтобы список академиков был репрезентативен, и никого не забыть. Поэтому будет создана тема, где мы предложим всем желающим (в т.ч. и не участникам КомКона) выписать предложения, кого можно позвать. Оргкомитет на основе этого списка постарается сформировать репрезентативный состав академиков. Мы очень просим, заявлять в качестве академиков людей, которые активно участвуют в мастерении ролевых игр, организации конвентов, либо вывозят большие команды. Оргкомитет постарается сделать наиболее репрезентативное жюри, и как минимум берет на себя обязательство позвать тех, кого выдвинули хотя бы 5 человек.<br><br>Ремарка на всякий случай:<br><br>В особых случаях, оргкомитет может принимать исключительные решения с оглашением оснований и описанием случая.<br><br>Предложить свои кандидатуры можно здесь: https://vk.com/topic-78728028_34857977<br><br>Номинации:<br><br>Лучшая камерная игра <br>Лучшая классическая игра <br>Лучшая эпическая игра <br>Вклад в развитие ролевого движения<br>Лучший сюжет <br>Лучшая административно-хозяйственная часть<br>Лучшая предыгровая подготовка<br>Лучший антураж <br>Лучшая инновация<br>Лучший комплекс правил";"1"
"79562795";"opengamerspb";"group";"OpenGamer Project";"Сообщество посвящено взаимодействию игроков проекта OpenGamer.<br><br>OpenGamer – это ролевая игра. Игра, которая продолжается для вас и вашего персонажа так долго, как вы того захотите. Жанр игры – персональный хоррор, а это значит, что мы в первую очередь делаем упор на создание драматических переживаний и атмосферы триллера, а не на развитие атрибутов или накопление сокровищ. <br><br>OpenGamer – это клуб. Клуб, который объединяет единомышленников, помогает преодолеть барьеры разобщенности. Выбирайте любые формы социализации, от камерных игровых сессий до масштабных балов и игр живого действия. Каждый персонаж обогащает наш общий игровой мир, любое усилие на общее благо оборачивается благом для персонажа и игрока.<br><br>OpenGamer – это состязание. Состязание между живыми соперниками, такими же игроками, как вы. Дружба и предательство, интриги и верность, месть и любовь – все это становится гораздо интереснее, когда за персонажем стоит живой игрок. Мы, со своей стороны, гарантируем всем равные возможности и справедливое соблюдение правил честной игры.<br><br>OpenGamer – это открытый мир. Любые поступки персонажа влекут за собой последствия, воздействующие на всю игровую вселенную. Каждый персонаж может добиться вершин власти, возглавить и повести за собой других. Может исследовать тайны мира, накапливая самый ценный ресурс – информацию. Однако, общие законы мира едины для всех.<br><br>Каждый желающий, пройдя регистрацию, получает возможность создать уникального персонажа из любой основной линейки Нового Мира Тьмы: смертного, вампира, мага, оборотня или подменыша. В дальнейшем, с ростом проекта, мы планируем расширять диапазон линеек.<br>Место действия – Санкт-Петербург, время действия – современность. Подробное описание сеттинга читайте сегодня в нашей следующей статье.<br><br>Форма участия в проекте – клубная, то есть зарегистрировавшийся участник оплачивает ежемесячные клубные взносы. Большинство мероприятий проекта доступно лишь для членов клуба. О размерах взносов и порядке оплаты можно узнать в Правилах участия.<br><br>Регистрация участников: https://goo.gl/EYikRx";"1"
"85418728";"steampunk2016";"page";"Стимпанк: Век разума";"МГ «Питерский формат» представляет ролевую игру в жанре стимпанк + альтернативная история.<br><br>Основные локации: Вена, Лондон и Санкт-Петербург.<br><br>На игре будут: дипломатия Великих Империй и война на далеких Балканах, великосветские приемы и гениальные преступления, научные общества и салоны медиумов, открытия ученых и необъяснимые загадки.<br><br>Игра пройдет 6-10 июля 2016 года в Ленинградской области, 400 игроков.<br><br>info@steam2016.ru";"1"
"64937084";"club64937084";"group";"Зоопсихология и дрессировка в СПб";"Меня зовут Анна Казакова,  я зоопсихолог – специалист по поведению животных  и дрессировщик. <br>+7(921)593-85-45<br><br>Основные направления работы:<br>- Коррекция проблем поведения собак, кошек и других животных<br>- Воспитательная дрессировка собак<br>- Трюковая дрессировка<br>- Кликер-дрессировка<br>- Дрессировка других видов животных<br>- Семинары и вебинары  для владельцев собак<br>- Проведение занятий для детей с собаками в интерактивном музее «Живой ключ»<br>- Тренинги животных Ленинградского зоопарка и обогащение среды<br><br>ЦЕНЫ:<br>Разовая консультация - 2500 (продолжительность 2-3ч)<br>Три консультации - 6000 (1 занятие – 2000)<br>Курс из 8-ми занятий - 12000 (1 занятие – 1500р)<br><br>Разовая консультация по экзотическим животным – 4000<br>Три консультации – 9000 (1 занятие – 3000)<br>Дрессировка экзотических животных –  от 2000р занятие<br><br>ВРЕМЯ И МЕСТО: занятия проводятся у вас на дому или на улице/в парке у вашего дома. Время - по договоренности, с 9.00 до 20.00, в любой день недели, включая праздники.<br><br>МЕТОДЫ ДРЕССИРОВКИ: все обучение проходит на положительном подкреплении. Я не использую строгие ошейники, удавки, электрошоковые ошейники. Дрессировка должна приносить удовольствие и человеку, и животному.";"1"
"10707842";"larp_spb";"group";"Ролевые игры в Санкт-Петербурге | Ролегид";"Ролегид — это интернет-СМИ и справочник-путеводитель по городам России, посвященный ролевым играм живого действия.<br><br>Подробнее по ссылке ниже. <br><br>https://vk.com/larp_spb?w=page-10707842_44456983";"1"
"133084496";"club133084496";"event";"10.12 «Последнее испытание» на «Блинкоме» (СПб)";"Легендарная фэнтези-рок-опера на фестивале «Блинком»! <br>Эпическая история «Сага о копье», созданная на основе ролевой настольной игры в Америке, сегодня уже имеет право называться классической. Могущественный, жестокий, эгоистичный маг, который играет судьбами людей, готов открыть врата в преисподнюю, чтобы стать богом. Но для этого ему нужно пройти последнее испытание, испытание чистой, искренней любовью. <br>Трепетная лирика трогает сердца сотен тысяч людей, а мощный, пронизывающий до самого нутра рок заставляет бурлить кровь. <br><br>На «Блинкоме» зрителя ждёт концертная версия постановки Руслана Герасименко! Впервые на питерской сцене будет исполнен «альтернативный финал» мюзикла.<br><br>В ролях:<br>Рейстлин: Руслан Герасименко <br>Крисания: Елена Ханпира <br>Такхизис: Вера Зудина <br>Карамон: Дмитрий Дьяченко <br>Король-жрец: Федор Воскресенский <br>Даламар: Сергей Смолин <br>Пар-Салиан: Денис Давыдов <br><br>Билеты на фестиваль можно приобрести здесь: <br>blincom.ru/tickets <br>Отдельно билет на «Последнее испытание» <br>https://blincom.timepad.ru/event/404571/";"1"
"42741465";"albiongames";"page";"Mk. Albion: Mad Mad Max'2016";"Ролевая игра с машинами и рок'н'роллом.<br>1. Фотографии команды ""Большой репортаж""<br>https://vk.com/album-42741465_234804033<br>2. Фотографии Юлии (Танды) Тишковой: http://analgetik.livejournal.com/931570.html<br>http://analgetik.livejournal.com/931604.html<br>3. Видео: https://vk.com/videos-42741465<br>4. Отчеты: https://vk.com/topic-42741465_34221825";"1"
"130527399";"blincom17";"event";"10–11 декабря. Блинком: фестиваль игр! СПб";"Блинком — крупнейший в Северо-Западном регионе фестиваль игр живого действия, фэнтези, настольных игр, реконструкции и страйкбола, с 2000 года ежегодно проходящий в Санкт-Петербурге.<br><br>Что смотреть: <br>🔔Мюзикл «Последнее испытание»<br>🔔Концерт «Оргии праведников»<br>🔔Концерт «The Dartz»<br>🔔Косплей <br>🔔Зрелищные мастер-классы <br>🔔Ярмарка <br> <br>Что делать:<br>🔔Квестория — игры живого действия для всех желающих<br>🔔Настольные ролевые игры от Студии 101<br>🔔Настольные игры от ведущих компаний<br>🔔Семинары и презентации по игропрактике <br>🔔«Что? Где? Когда?» по фэнтези-сеттингу<br>🔔Страйкбол и военно-спортивные игры (будет отдельно страйкбольный зал, будут стенды по страйкбольно-ролевым играм и милсиму)<br>🔔Стрельба из лука, метание ножей от клуба Луч 21<br>🔔Современный мечевой бой (по правилам ФСМБ)<br>🔔«Бамбуковая беседка»<br>🔔Дискотека <br>🔔Интерактивные мастер-классы по созданию изделий <br>🔔Интерактивный театр<br>🔔Множество фотозон, возможность создать свой образ прямо на месте, возможность сфотографироваться с любимыми героями кино и книг<br><br>Блинком XVII пройдёт 10–11 декабря 2016 года в Ленинградском дворце молодежи (ул. Профессора Попова, 47). Для иногородних есть проживание.";"1"
"122145324";"mblincom";"page";"Мастер-Блин 2017 (14–15 октября)";"Конвент мастеров Ролевых Игр Санкт-Петербурга";"1"
"121128769";"brr2017";"event";"РИ «Барраяр. Время перемен»";"РИ «Барраяр. Время перемен»<br>Канон: «Сага о Форкосиганах» Л. М. Буджолд<br>Таймлайн: 2869 г., через год после захвата Комарры<br>Место действия: Барраяр, Форбарр-Султана<br>Формат: 80-90 человек, 3 игровых дня<br>Где: б/о «Радуга» (Мичуринское, ЛО)<br>Когда: 6–9 мая 2017<br>Мастера: МГ «Флоренция» и друзья<br>Жанр: социально-политическая игра<br>Взнос: от 4000 р.<br><br>Анонс<br>2869 год. Барраяр, год назад захватив Комарру, впервые заявил о себе как о реальной галактической силе и сделал первый шаг к становлению межпланетной империей. Однако захваченная Комарра, пережившая Солстисскую бойню — кровавый дебют «Мясника» Эйрела Форкосигана, не спешит покоряться: терроризм, бунты, диверсии, убийства барраярских ставленников... По Форбарр-Султане ползут слухи, что император Эзар уже стар и не способен к решительным действиям, ему не привести Комарру к повиновению. Однако за его плечом — молодой и талантливый принц Серг, уже заслуживший преданность военных, политофицеров и прогрессивных форов. Вместе они готовы сделать Барраяр поистине непобедимым.<br><br>Империя растет и требует новых решений и методов. Способны ли на них старые герои, или пришла пора уступить молодым?<br><br>На Барраяр приходит время перемен.";"1"
